,umap_x,umap_y,umap_z
0,8.42231,0.73604995,4.9479685
1,6.6768146,1.0826582,3.47428
2,9.2816105,6.841702,10.688913
3,8.092371,-0.36752144,3.711764
4,8.304326,-0.32870325,4.087859
5,8.546537,4.068888,11.801894
6,7.664134,-0.19258079,4.578325
7,8.013169,4.856598,10.342181
8,7.6953864,4.640674,11.613597
9,8.333872,4.4345264,10.27545
10,8.504282,3.9369318,11.340164
11,7.6257105,4.712197,11.413234
12,7.661776,3.9040146,5.201616
13,7.2074428,0.40791684,3.5428255
14,7.6674466,4.9312935,10.416295
15,8.086392,1.6130762,4.9337783
16,8.3947735,1.8339257,5.3610845
17,6.6647453,0.4946241,3.5093718
18,18.158167,5.5452337,4.801102
19,9.286152,6.9244776,10.76209
20,8.755679,4.6868267,11.282517
21,8.25455,5.337764,5.584524
22,7.72415,4.862411,11.222185
23,7.642193,-0.08404928,3.7881567
24,8.150161,1.3561924,4.936904
25,7.3368587,0.3055035,4.3457723
26,8.094272,4.6878276,10.118492
27,8.271146,2.9965627,5.1207876
28,8.023309,-0.12811285,4.225777
29,7.999886,0.9162759,4.935676
30,6.6689463,0.5072196,3.3430717
31,0.8051019,14.913157,4.982602
32,8.133051,5.1400642,9.034721
33,8.341065,4.560994,11.740262
34,7.908385,3.3454168,5.3546953
35,8.192136,4.7193093,9.99595
36,18.0468,5.561283,4.855123
37,6.993044,0.23901069,3.5141242
38,7.904926,0.0025157146,4.0535226
39,-1.3104815,11.505544,6.9416933
40,7.5634937,4.545289,11.782629
41,8.056038,-0.24070057,4.2622967
42,7.919137,4.23631,11.694928
43,6.6348896,1.0764827,3.5732467
44,8.355989,4.814127,10.639716
45,9.6646595,7.210706,10.483146
46,7.671254,5.322445,5.920956
47,7.8638363,5.656303,7.461315
48,7.6329236,-0.19139194,3.36426
49,8.141739,0.48321533,4.926578
50,7.86659,-0.14772068,3.6914897
51,10.151592,6.7474346,9.459284
52,8.81786,3.8992805,11.498472
53,8.497462,-0.36830252,3.8390934
54,8.093159,4.909982,9.558244
55,7.090164,0.22573893,3.9087126
56,8.030426,4.5070567,11.420091
57,8.221538,4.4889092,11.650622
58,8.427537,4.3753386,11.723307
59,18.815367,5.2658234,5.1357913
60,8.53785,3.768847,11.733411
61,7.0163846,0.33063442,3.139588
62,8.990399,4.776299,6.557018
63,6.6123366,0.9470885,3.451822
64,8.455787,4.247667,10.284043
65,9.966797,6.7930164,9.071702
66,8.1557255,4.182753,11.751888
67,0.6603595,10.820915,5.4612546
68,8.443039,4.4721932,11.780148
69,8.029777,4.9918985,5.6162043
70,7.2011623,0.092768855,4.024067
71,8.183326,-0.28981316,3.713914
72,-0.8285829,13.025134,6.84417
73,7.5311995,5.195066,5.7403584
74,7.7192974,-0.06199612,3.7746844
75,8.10005,4.4655,11.537117
76,8.117707,5.0753317,9.600502
77,7.588037,5.2037005,5.9297433
78,8.543917,3.9080548,5.6961317
79,8.618119,-0.5293309,3.7933247
80,8.301735,-0.072346814,4.3036366
81,8.562583,3.9066684,11.666453
82,7.8444457,1.4815465,4.955435
83,0.08913453,14.066527,4.3889956
84,0.8077057,14.936899,5.0302978
85,8.340464,5.291714,7.636665
86,10.122576,6.7430077,9.384624
87,8.340748,4.7719526,4.73313
88,8.167809,1.8737475,5.3407283
89,7.418448,0.6041208,3.1762307
90,8.0192175,-0.08821421,3.4533303
91,8.343526,-0.093393125,4.7078147
92,7.7924943,1.8498558,5.2039638
93,8.23068,-0.26922306,3.4673285
94,7.221521,0.15735312,3.7889526
95,0.4149716,14.4284,4.538111
96,18.134054,5.5623646,4.81828
97,8.610467,4.9075613,10.694252
98,0.8100108,14.954486,5.0592227
99,8.001467,-0.03390239,4.458568
100,8.943759,4.237975,11.427079
101,8.243226,4.4416447,10.344933
102,7.943115,0.38747007,4.4354563
103,7.640557,4.4549584,4.4405293
104,7.177921,0.23770185,3.475091
105,8.143003,1.7269676,5.3838716
106,8.94959,-0.55063456,4.1854396
107,7.349301,0.7475673,4.3490424
108,6.8948646,0.24542259,3.0443795
109,9.71794,6.8937583,9.299612
110,7.6415043,4.9898295,10.42041
111,8.508806,-0.55567443,3.9753232
112,8.421205,-0.4464007,3.6943536
113,8.235873,5.3290977,8.246839
114,8.149404,-0.261197,4.201831
115,8.2369585,4.7434583,10.04533
116,8.55897,4.2014,11.1467705
117,8.353784,3.4081614,5.2438483
118,7.823197,3.6415982,5.546272
119,7.5311766,2.393887,4.836468
120,7.992127,0.14244299,4.587246
121,8.084019,4.0625544,5.633974
122,9.272708,6.720666,10.64949
123,8.176278,5.3092055,5.7276387
124,8.07326,4.042839,11.648061
125,7.911022,4.073478,11.284718
126,8.285066,3.3654006,5.3786736
127,8.256836,1.4473094,5.061228
128,0.8150391,15.005658,5.137703
129,9.5671835,6.7436633,9.5791
130,7.0436645,0.4590096,3.2029705
131,7.577613,4.1963434,5.18603
132,8.43177,5.322411,7.6141205
133,7.3020883,2.3751206,4.7809534
134,8.072159,-0.30466464,3.4011257
135,8.832812,-0.47383407,4.0539136
136,7.2568274,0.5640035,4.047748
137,7.581485,0.37237784,4.3895845
138,7.6267443,3.0018182,4.8580165
139,8.371178,4.3559494,11.702729
140,0.8050751,14.978615,5.120118
141,8.553079,-0.621031,3.6661086
142,8.523953,-0.39967045,3.8668735
143,7.4101524,1.9633867,4.8090105
144,7.742488,1.6785257,5.1116815
145,7.0685945,0.21685529,3.4268026
146,6.767742,0.31676894,3.325165
147,7.7481647,0.011907022,4.135859
148,7.8814764,4.6532702,11.691968
149,8.16222,5.896799,6.8795233
150,8.076885,0.09211729,4.0637856
151,8.323612,-0.31917742,3.7354105
152,0.6574485,10.827472,5.4557824
153,7.6810756,-0.2612727,3.1018302
154,7.3573904,4.6172886,11.698542
155,0.7948216,14.979026,5.14736
156,8.878639,4.2344294,11.3996935
157,6.758195,0.5544031,3.5211048
158,6.839158,0.57611024,3.8294349
159,0.657714,10.825168,5.4574265
160,8.058996,-0.2647363,4.1423106
161,7.552356,6.0612507,6.184244
162,7.2447658,0.24316783,3.6562812
163,7.8642917,3.8541157,11.863327
164,7.721767,4.3036423,11.821975
165,7.3050685,1.9091913,4.615285
166,8.104512,0.1678581,4.386573
167,8.5112705,0.021417214,4.733068
168,8.270697,5.0274024,9.037437
169,0.7894931,14.976556,5.1560936
170,8.564465,4.0745482,11.774491
171,7.774507,-0.3461085,3.7449532
172,8.2343855,1.9594978,5.14371
173,6.891629,0.38892704,3.090481
174,6.9687104,0.46501553,3.4064856
175,7.337689,4.6502514,11.693017
176,8.78601,4.6157084,4.952719
177,18.393877,5.3675766,4.938412
178,8.177729,5.6447296,7.9550676
179,7.079693,0.3274405,3.7721312
180,7.885468,0.110088006,4.5177865
181,8.167556,2.8105052,5.1877394
182,8.126571,5.014966,10.339042
183,0.7513794,14.967631,5.229618
184,0.79966456,14.906624,4.978463
185,8.850528,-0.28353602,4.478892
186,9.560369,7.0386424,10.782248
187,18.088747,5.624659,4.883052
188,7.5167494,4.2759647,11.862985
189,8.650538,5.7906885,9.068944
190,0.5210307,14.550991,4.6230373
191,8.056058,0.2374062,4.081749
192,7.6801634,0.17542279,4.143843
193,7.9663224,1.141732,4.905751
194,7.4539547,2.1022105,4.6346397
195,8.169339,4.437936,11.457066
196,7.860583,4.167294,11.835796
197,9.456727,6.7236185,9.374282
198,8.073406,1.7416369,5.097279
199,7.5075116,-0.12558533,3.7142515
200,8.377441,4.739642,9.395196
201,7.9737926,4.7933784,4.824726
202,8.223963,4.7028255,10.061054
203,8.209707,0.31033677,4.529753
204,0.0116854515,13.9851885,4.400931
205,7.7695084,4.945126,11.0442
206,6.72631,0.70991254,3.4786901
207,7.8942885,0.47012085,4.079238
208,7.6252537,4.868604,11.593571
209,18.640009,5.2634053,4.9236736
210,7.728861,5.3179116,5.7488766
211,7.3725038,0.20620048,3.7984104
212,-0.015794089,13.95755,4.407586
213,7.797953,0.09140905,3.5729327
214,7.3334985,2.5543923,4.875518
215,7.669566,5.0112453,11.521308
216,7.2134852,0.34369633,3.9007292
217,7.006342,1.9871058,4.360846
218,8.788353,4.638004,5.0038567
219,7.6789627,0.18152663,4.228951
220,8.313681,3.1895778,5.0989532
221,8.131636,4.9111514,9.503831
222,18.575941,5.5257196,4.964731
223,7.4064484,4.3251824,11.7020445
224,7.377222,4.4292436,11.727172
225,7.301487,1.9483362,4.669397
226,7.5681553,0.21698111,3.9437795
227,8.032729,-0.05499598,4.037657
228,7.2993975,0.15594992,3.688003
229,8.509179,4.5447693,6.36846
230,8.637941,-0.66220295,3.954251
231,7.9964476,0.46512944,4.050549
232,8.1817045,1.763238,5.280275
233,7.6583343,-0.2353588,3.5995283
234,8.269305,4.7179923,4.6607904
235,8.143198,5.0136204,9.31875
236,8.431546,2.9434738,5.521807
237,18.792727,5.232999,5.128233
238,8.357129,0.72841394,4.2581716
239,7.595252,4.1973925,5.016228
240,7.9878,0.1808817,3.3393166
241,9.035021,4.832315,6.6056943
242,8.851071,-0.3482197,4.2005014
243,0.69005936,14.944024,5.3257365
244,7.2375717,0.2320685,3.283863
245,9.309726,6.5220013,9.509786
